2024-12-07 03:09:30,572 - INFO - Logging setup complete. Logs will be saved to 'app.log' and displayed on the console.
2024-12-07 03:09:36,665 - INFO - Container 1fd2ef3aa7c2 restarted successfully on port 32783
2024-12-07 03:09:41,148 - INFO - Running Ansible playbook on hosts: {'container_1fd2ef3aa7c2': {'ansible_host': 'localhost', 'ansible_port': '32783', 'ansible_user': 'root', 'ansible_ssh_private_key_file': '/root/.ssh/docker_container_key', 'ansible_ssh_extra_args': '-o StrictHostKeyChecking=no'}}
2024-12-07 03:09:44,247 - INFO - Running Ansible playbook on hosts: {'container_1fd2ef3aa7c2': {'ansible_host': 'localhost', 'ansible_port': '32783', 'ansible_user': 'root', 'ansible_ssh_private_key_file': '/root/.ssh/docker_container_key', 'ansible_ssh_extra_args': '-o StrictHostKeyChecking=no'}}
2024-12-07 03:09:46,777 - INFO - Running Ansible playbook on hosts: {'container_1fd2ef3aa7c2': {'ansible_host': 'localhost', 'ansible_port': '32783', 'ansible_user': 'root', 'ansible_ssh_private_key_file': '/root/.ssh/docker_container_key', 'ansible_ssh_extra_args': '-o StrictHostKeyChecking=no'}}
2024-12-07 03:09:49,338 - INFO - Running Ansible playbook on hosts: {'container_1fd2ef3aa7c2': {'ansible_host': 'localhost', 'ansible_port': '32783', 'ansible_user': 'root', 'ansible_ssh_private_key_file': '/root/.ssh/docker_container_key', 'ansible_ssh_extra_args': '-o StrictHostKeyChecking=no'}}
2024-12-07 03:09:52,043 - INFO - Running Ansible playbook on hosts: {'container_1fd2ef3aa7c2': {'ansible_host': 'localhost', 'ansible_port': '32783', 'ansible_user': 'root', 'ansible_ssh_private_key_file': '/root/.ssh/docker_container_key', 'ansible_ssh_extra_args': '-o StrictHostKeyChecking=no'}}
2024-12-07 03:09:54,799 - INFO - Running Ansible playbook on hosts: {'container_1fd2ef3aa7c2': {'ansible_host': 'localhost', 'ansible_port': '32783', 'ansible_user': 'root', 'ansible_ssh_private_key_file': '/root/.ssh/docker_container_key', 'ansible_ssh_extra_args': '-o StrictHostKeyChecking=no'}}
2024-12-07 03:09:57,318 - INFO - Running Ansible playbook on hosts: {'container_1fd2ef3aa7c2': {'ansible_host': 'localhost', 'ansible_port': '32783', 'ansible_user': 'root', 'ansible_ssh_private_key_file': '/root/.ssh/docker_container_key', 'ansible_ssh_extra_args': '-o StrictHostKeyChecking=no'}}
2024-12-07 03:09:59,825 - INFO - Running Ansible playbook on hosts: {'container_1fd2ef3aa7c2': {'ansible_host': 'localhost', 'ansible_port': '32783', 'ansible_user': 'root', 'ansible_ssh_private_key_file': '/root/.ssh/docker_container_key', 'ansible_ssh_extra_args': '-o StrictHostKeyChecking=no'}}
2024-12-07 03:11:12,328 - INFO - Running Ansible playbook on hosts: {'container_1fd2ef3aa7c2': {'ansible_host': 'localhost', 'ansible_port': '32783', 'ansible_user': 'root', 'ansible_ssh_private_key_file': '/root/.ssh/docker_container_key', 'ansible_ssh_extra_args': '-o StrictHostKeyChecking=no'}}
2024-12-07 03:11:15,436 - INFO - Running Ansible playbook on hosts: {'container_1fd2ef3aa7c2': {'ansible_host': 'localhost', 'ansible_port': '32783', 'ansible_user': 'root', 'ansible_ssh_private_key_file': '/root/.ssh/docker_container_key', 'ansible_ssh_extra_args': '-o StrictHostKeyChecking=no'}}
2024-12-07 03:11:18,332 - INFO - Running Ansible playbook on hosts: {'container_1fd2ef3aa7c2': {'ansible_host': 'localhost', 'ansible_port': '32783', 'ansible_user': 'root', 'ansible_ssh_private_key_file': '/root/.ssh/docker_container_key', 'ansible_ssh_extra_args': '-o StrictHostKeyChecking=no'}}
2024-12-07 03:11:20,883 - INFO - Running Ansible playbook on hosts: {'container_1fd2ef3aa7c2': {'ansible_host': 'localhost', 'ansible_port': '32783', 'ansible_user': 'root', 'ansible_ssh_private_key_file': '/root/.ssh/docker_container_key', 'ansible_ssh_extra_args': '-o StrictHostKeyChecking=no'}}
2024-12-07 03:11:23,872 - INFO - Running Ansible playbook on hosts: {'container_1fd2ef3aa7c2': {'ansible_host': 'localhost', 'ansible_port': '32783', 'ansible_user': 'root', 'ansible_ssh_private_key_file': '/root/.ssh/docker_container_key', 'ansible_ssh_extra_args': '-o StrictHostKeyChecking=no'}}
2024-12-07 03:11:27,279 - INFO - Running Ansible playbook on hosts: {'container_1fd2ef3aa7c2': {'ansible_host': 'localhost', 'ansible_port': '32783', 'ansible_user': 'root', 'ansible_ssh_private_key_file': '/root/.ssh/docker_container_key', 'ansible_ssh_extra_args': '-o StrictHostKeyChecking=no'}}
2024-12-07 03:11:30,442 - INFO - Running Ansible playbook on hosts: {'container_1fd2ef3aa7c2': {'ansible_host': 'localhost', 'ansible_port': '32783', 'ansible_user': 'root', 'ansible_ssh_private_key_file': '/root/.ssh/docker_container_key', 'ansible_ssh_extra_args': '-o StrictHostKeyChecking=no'}}
2024-12-07 03:11:33,665 - INFO - Running Ansible playbook on hosts: {'container_1fd2ef3aa7c2': {'ansible_host': 'localhost', 'ansible_port': '32783', 'ansible_user': 'root', 'ansible_ssh_private_key_file': '/root/.ssh/docker_container_key', 'ansible_ssh_extra_args': '-o StrictHostKeyChecking=no'}}
